imageID,Image,Pitch,Yaw,Roll,Eye Aspect Ratio,Mouth Aspect Ratio,Occ_au_1,Occ_au_2,Occ_au_3,Occ_au_4,Occ_au_6,Occ_au_9,Occ_au_12,Occ_au_20,Occ_au_28,imageDBName,imageCat,lookup_key
38,B11PosBW.bmp,0.7866542563843391,0.9444353915744826,-0.02184625088589448,0.8518534929566166,0.5041839757380561,0.5555545540283937,0.7696451277882013,0.14132368575692134,0.012877454113472832,0.947542375919843,3.229393470404718e-05,0.9703168056201668,0.22899298927984313,0.061328757974001995,B11,3,B11Pos
39,B12NegBW.bmp,9.721337948770419,-3.7440123437296133,0.04483116557130971,0.7620260771522851,0.5908102237373375,0.7240045227446216,0.13677832249571967,0.9954614362856226,0.9658525378154141,0.9928422430409595,0.9515266528180217,0.03929926991895907,0.8678807543798479,0.04632712041178327,B12,1,B12Neg
41,B12PosBW.bmp,16.705665363370365,-2.455815828652165,-0.07185092806340475,0.8383102303632324,0.5411322121556636,0.8284175471821852,0.8683856405621833,0.8396943780777127,0.1815515868422915,0.9640064031747979,0.023419553737868363,0.43006263493730434,0.23487861513110442,0.14304988235964042,B12,3,B12Pos
42,B13NegBW.bmp,-7.785911097396723,-4.378162448353268,0.0706450018627203,0.7096206678359545,0.5332380364611138,0.3663963267184823,0.14004016937280475,0.6473876881511023,0.5344143341148797,0.9544183095669161,0.4633822063811966,0.9532314798289344,0.572366059365847,0.0022565335496715568,B13,1,B13Neg
45,B13PosBW.bmp,5.601301956529177,3.8482399138938392,0.029009173138881572,0.7646304554805622,0.5578600245678835,0.5632714429205223,0.174192754491714,0.4351922337164153,0.17008118209920603,0.9843985098870304,0.36494966672796664,0.953785466834661,0.2703611199001865,0.036085760645266696,B13,3,B13Pos
46,B14NegBW.bmp,-14.428148382324991,-3.626719373401947,0.06564029452192739,0.7298770680092267,0.49998073088208295,0.2743327629921533,0.34557935975665516,0.9225427975163472,0.9335635218123047,0.9805567077873807,0.6780316474490274,0.8909243363925659,0.814530304778933,0.0002162158314320503,B14,1,B14Neg
47,B14NeuBW.bmp,-5.603205243760188,9.289914585931742,0.22854621813716397,0.8943604438268737,0.5371004346556341,0.807423263799674,0.4708664745570332,0.06423809598702603,0.013160619793283014,0.00782827010710269,5.5893485751257877e-05,0.03299225329996748,0.1903245472345528,0.005030928029910921,B14,2,B14Neu
48,B14PosBW.bmp,-10.493791875347727,12.92568022235178,0.14698037046427254,0.8253559236004429,0.5182184590983266,0.9827429461062334,0.9603908995531324,0.41897030293439264,0.025198283633359398,0.2313053254951198,7.173715775199988e-05,0.7157030611879572,0.11694952365902446,0.012786551912406569,B14,3,B14Pos
49,B15NegBW.bmp,-4.524220753151825,6.92333261909296,0.08983075079077285,0.8420936254681446,0.5310374226275241,0.33392052988141596,0.11732166644341914,0.6327427348289846,0.5503910489321463,0.9290447462103792,0.03667693802045753,0.5966771506469608,0.7691915429130235,0.005570284397623243,B15,1,B15Neg
52,B15PosBW.bmp,3.414888040642613,-1.284375099786577,-0.02991184241959755,0.8703528838327008,0.5786049161792541,0.8958110007520161,0.7763772352022261,0.1254717025397453,0.02576363467989205,0.11360015365775977,0.00030278783552918024,0.19789332282169958,0.6350696927099516,0.33168310025983816,B15,3,B15Pos
53,B16NeuBW.bmp,70.82247555053274,-49.746025324623965,0.4727527633521671,0.8931154201237193,0.4939528580695885,0.9122581846862008,0.4729532460581919,0.03570282265938475,0.000694150360144659,0.3593290794177661,0.00034094276591944153,0.22766904499702798,0.014087873446005629,0.04427857176443197,B16,2,B16Neu
55,B16PosBW.bmp,-8.240093933874764,5.109989896431108,0.155605995666082,0.8299977613082903,0.5461838875749564,0.8419807267663066,0.7799747995045,0.3676281201318916,0.04645904730165601,0.8821658148418254,0.0007306839872507231,0.9794578097877523,0.5313377059435167,0.02910921171814303,B16,3,B16Pos
57,B17NegBW.bmp,5.736297345825838,-15.742115829637466,0.5807451866113011,0.8304822350152534,0.5476133241252225,0.5745173285092672,0.053485061012599054,0.991914526217788,0.9966620952867489,0.9937582477880672,0.999634078231907,0.6819357334716705,0.430065634184887,0.002738456783167497,B17,1,B17Neg
58,B18NegBW.bmp,19.603774464612385,4.810780576168179,-0.23523008629634107,0.8334366667821813,0.5385898496421088,0.137772187087039,0.00893497257013584,0.9591473980458438,0.7662697782933697,0.7856881816958727,0.8975853478222152,0.0074690856206670745,0.2208757797457508,0.08515084475639072,B18,1,B18Neg
60,B18NeuBW.bmp,-1.280953098828167,8.521367168525302,-0.02292243438144887,0.8876938341123709,0.5012434320716636,0.24286495608857536,0.23718821646121613,0.010121690900035143,0.0060088590075408335,0.022861615422819333,1.3559312048381387e-05,0.06581559125323294,0.005176112943593279,0.09530668552766702,B18,2,B18Neu
61,B18PosBW.bmp,8.826262994039503,-0.6908781511661813,-0.03957293071138704,0.8275518483471751,0.5982301650905326,0.24799058045054087,0.1482838257482414,0.15356066596217907,0.152086497091933,0.9785587586177853,0.018868350480639666,0.8725675937888816,0.8684699505004907,0.002621261960989748,B18,3,B18Pos
63,B19NegBW.bmp,10.548344609569622,6.68288698140125,0.2592820012055427,0.8072172891676372,0.5855206109460028,0.7102421170565411,0.39036537767250773,0.9306415289587185,0.5092066348828227,0.610475727663497,0.005642141374216288,0.07788107791697683,0.6122008665737333,0.052572368955801675,B19,1,B19Neg
65,B19PosBW.bmp,1.3634307220481887,4.249584553488796,0.03448584426915672,0.8602486884444507,0.5265181126652666,0.03544477560214351,0.031974237344510666,0.0958029705087873,0.03649047303372067,0.9619913489778547,0.006047046034489029,0.9171947720260228,0.4615564038363654,0.007623826700877581,B19,3,B19Pos
67,B20NegBW.bmp,0.6663459542330394,6.943864168559878,-0.05644528416270401,0.8565470544751963,0.5063122403358263,0.8393528953844652,0.4089368109426534,0.7226535693874636,0.1330061816537151,0.05867693065710806,0.00035756381989831095,0.007564056968976304,0.21439691985932682,0.000776364187004353,B20,1,B20Neg
70,B20PosBW.bmp,6.667943263510514,2.9858652601817828,0.004475207495003996,0.8406018898305272,0.5533580713827464,0.4242138252023043,0.4749384534894636,0.0633334357481819,0.028100626996670718,0.5411725276409666,0.006677702971735634,0.16092229591741292,0.3129220466937257,0.02426562190260956,B20,3,B20Pos
71,B21NegBW.bmp,16.883889803877064,2.2426719863456883,-0.019852600159840802,0.7924426918847414,0.5654249105524175,0.8195569274880136,0.7062460054632728,0.2746867985650461,0.07357468268010728,0.04139884238653776,0.007721007826782,0.009677608775928423,0.4574438966276969,0.009161407951781,B21,1,B21Neg
72,B21NeuBW.bmp,8.918968182675496,-2.6341189949364034,-0.05395958596547179,0.9193825379239834,0.5065534783222638,0.25280920313486455,0.34867269997265665,0.02710961537726713,0.0066470793123660325,0.01500508485827077,8.823673548721719e-05,0.0051393556629074875,0.014072226539250832,0.14266157325208112,B21,2,B21Neu
73,B21PosBW.bmp,14.6983915123112,-1.9659965692503643,-0.06258803512031612,0.857397544146326,0.5323839309391213,0.3419617109253434,0.05113386428744195,0.5605622077342493,0.101780017301637,0.7583344493654218,0.006732834352145173,0.19852203148162229,0.6613003534497152,0.057228996380184236,B21,3,B21Pos
76,B22PosBW.bmp,-4.429026001606457,9.294064746463613,0.07780785452529225,0.8190403713493761,0.5248270415200978,0.6505975460542398,0.20648452487295255,0.8224643417349231,0.8410555902492969,0.9036378025897327,0.0017614215757282218,0.9637856584568285,0.6955370731117629,0.005062377737974585,B22,3,B22Pos
77,B23Neu1BW.bmp,-10.723828654016302,7.848328409969957,-0.1144286289820865,0.8313825118523805,0.5041584316083132,0.1370496594861708,0.14983941915472615,0.007213508882744386,0.008030830058931921,0.009599942775269339,3.0918057370215306e-05,0.0019385185360148484,0.008745994950833873,0.01155189040637635,,2,nan
78,B23Neu2BW.bmp,-2.1720925849582056,6.939043359985639,0.08386101145032498,0.8553707946670436,0.5225030253046348,0.6135532680198061,0.5726866334155057,0.057268133469595764,0.051299693190869314,0.010513927780512787,0.00011428862794059349,0.01633405467260903,0.06476230668135573,0.006750465522272695,,2,nan
79,B23PosBW.bmp,-0.4313572781858239,5.618448953494905,-0.002194978819997456,0.8623965254361413,0.5040252216705768,0.7837044784168968,0.45907461685442474,0.02348759425628637,0.006200564930915962,0.8252113247151017,0.00047275673172306366,0.9680009203691875,0.7195667588425971,0.10697458533782395,B23,3,B23Pos
81,B24NeuBW.bmp,3.165029536615358,7.692829494970882,0.0651976886969709,0.8907829675281669,0.5003987456630884,0.8456993608252475,0.9285529765942814,0.1874485311491858,0.024916639942509065,0.06848438804102351,4.624852152619349e-05,0.009050433928601134,0.05810287236595791,0.005023212419027639,B24,2,B24Neu
