imageID,Image,Occ_au_1,Occ_au_2,Occ_au_4,Occ_au_6,Occ_au_7,Occ_au_10,Occ_au_12,Occ_au_14,Occ_au_15,Occ_au_17,Occ_au_23,Occ_au_24,imageDBName,imageCat,lookup_key
73,B21PosBW.bmp,0.009784726,0.000352781,1.725202419073854e-13,0.000985835,0.9220782518386841,0.998945951,0.004524189,0.021460555493831635,4.454083409655141e-06,3.953934957223737e-09,0.046800438314676285,1.0637005516400677e-06,B21,3,B21Pos
76,B22PosBW.bmp,0.026825191,0.01742067,0.000331468,0.9999644160270691,0.9999998807907104,0.6764769554138184,0.9999954700469971,0.5252072811126709,2.8770223252649885e-06,1.3356562078570278e-08,0.000113115,4.628952386329099e-13,B22,3,B22Pos
77,B23Neu1BW.bmp,2.389699329796713e-05,0.1363358199596405,2.154925368813565e-06,1.2044181841100454e-12,4.493926098803058e-05,1.1749541954486631e-05,0.000189526,0.15479037165641785,0.006166718,2.525471813896729e-07,0.002530158,2.167584586484656e-14,,2,nan
78,B23Neu2BW.bmp,0.015130899846553802,0.4488319158554077,8.414437266293707e-20,1.7042678379652898e-09,0.000398653,0.002695013,3.3573571272427216e-05,4.367996552900877e-06,0.00044029,5.261126603817168e-11,0.00201615,2.719780997639809e-11,,2,nan
79,B23PosBW.bmp,0.15339863300323486,0.5282791256904602,2.2635043839258628e-10,0.9999973773956299,0.9993265867233276,0.3064019978046417,0.9896752238273621,0.6914098858833313,3.901917122739462e-10,2.621337989694439e-05,0.000418018,9.398773426205764e-12,B23,3,B23Pos
81,B24NeuBW.bmp,0.041801098734140396,0.7926927208900452,1.0611583833863847e-10,1.5061948033689987e-05,0.7175437808036804,3.003396159328986e-05,8.217097557938757e-10,0.018673945,0.000998263,1.4613469829782844e-06,0.001784898,5.8718256923384615e-09,B24,2,B24Neu
83,B24PosBW.bmp,0.000328905,0.3767629563808441,4.620377512765117e-05,0.9672507643699646,0.999991238,0.000433925,0.5135710835456848,0.9382634162902832,4.294744030630682e-06,4.851413564210816e-07,4.0291888581123203e-07,1.765815575358043e-12,B24,3,B24Pos
84,B25NegBW.bmp,2.3856915504438803e-05,0.017430556938052177,0.071500205,0.6004754900932312,1,0.8553486466407776,0.066360511,0.004261435,0.000381284,1.9914344966901615e-13,0.027020368725061417,1.3007919381697773e-16,B25,1,B25Neg
86,B25NeuBW.bmp,0.21804220974445343,0.017221097,3.215746083046894e-13,4.167989009484785e-10,0.9243265986442566,0.9939172267913818,0.005108596,0.050352551,0.00092369,2.360250439537026e-09,0.21208909153938293,3.3611237881814304e-07,B25,2,B25Neu
87,B26NegBW.bmp,0.001674768,0.001038409,3.586996399462805e-06,0.16833361983299255,0.9998558163642883,1.46504853546503e-05,0.010392266,0.002213903,6.612712155629197e-08,1.3364164260565303e-05,0.07122761,0.000165189,B26,1,B26Neg
90,B26PosBW.bmp,0.098200068,0.020603680983185768,3.118270228696929e-07,0.077378452,0.9997411966323853,0.9195389151573181,0.9998043179512024,0.1318254917860031,0.000491621,3.2974176774475117e-12,0.006884416,8.604736714823424e-12,B26,3,B26Pos
91,B27NegBW.bmp,8.130701871778001e-07,0.000187647,7.277008506889615e-08,0.4318141043186188,0.9999812245368958,0.9461070895195007,0.6850091814994812,0.4876329004764557,9.6753772993452e-08,1.2959014306090921e-08,6.430063876905479e-07,1.6555618638156022e-12,B27,1,B27Neg
94,B27PosBW.bmp,0.000959714,0.002147253,1.3624638797813532e-13,5.394837785388518e-07,0.9930428862571716,0.37735646963119507,0.9743934273719788,0.00432877,2.8713399657931404e-08,4.4246127595126694e-11,7.674716471228749e-06,5.7313376267131844e-11,B27,3,B27Pos
95,B28NegBW.bmp,0.000395279,4.937421908834949e-05,0.7326754927635193,0.9979668855667114,0.9836387038230896,0.000726413,0.9644195437431335,0.9961018562316895,0.018845545,1.260753634824141e-07,0.5700086355209351,5.670459586326615e-07,B28,1,B28Neg
96,B28NeuBW.bmp,0.000890877,0.026395119726657867,2.0543451384469336e-08,9.155677105354698e-08,0.001683466,1.8014554370893165e-05,7.595783557690083e-08,0.012266561388969421,1.0354096957598813e-05,3.2930927318375325e-06,3.8743371987948194e-05,6.342946509691047e-15,B28,2,B28Neu
97,B28PosBW.bmp,0.000123694,0.12688413262367249,1.5475356121896766e-05,0.084115319,0.9999914169311523,0.001928125,0.9049938321113586,0.086471565,1.3379262782109436e-05,4.531051575606959e-11,9.18126625037985e-06,1.1880318777357513e-12,B28,3,B28Pos
98,B29NegBW.bmp,5.7737643146538176e-06,7.794732255206327e-07,0.004239294,0.9966627359390259,0.9923928380012512,0.000177827,4.5154523832025006e-05,0.006864892,0.004186948,0.006439674,0.001009516,5.157569371583293e-10,B29,1,B29Neg
100,B29PosBW.bmp,0.27957117557525635,0.033011086,8.526375161466149e-10,0.8829767107963562,0.9996708035469055,0.9997239708900452,0.9999915361404419,0.9161602258682251,4.7165338301624615e-09,2.5801313863205166e-10,0.022285176441073418,1.3823947683181542e-13,B29,3,B29Pos
101,B30NegBW.bmp,0.014084417,0.000299396,2.4460140934934316e-07,0.562007725,0.9986500144004822,0.028696464374661446,2.1338175429264084e-05,0.040555402636528015,0.285837859,0.34369343519210815,0.001821918,1.6356929336325265e-05,B30,1,B30Neg
102,B30PosBW.bmp,0.10311422497034073,9.426680480828509e-05,3.4615819544114856e-08,0.004298035,0.9875941872596741,0.013815042562782764,0.017766138538718224,0.8989493250846863,0.000131014,0.000349398,0.003639172,3.3155669321160985e-09,B30,3,B30Pos
104,B31NegBW.bmp,0.044722940772771835,0.000942107,0.00026365,0.8791235089302063,0.9999994039535522,0.9993921518325806,0.9408809542655945,0.004015618,1.6447183952550404e-05,2.3009904122047245e-15,0.00704822,3.5352200333793604e-11,B31,1,B31Neg
107,B32NegBW.bmp,0.003700058,0.032947342842817307,0.000218024,0.8782832622528076,0.9999988675117493,0.828259289,0.000289997,0.13543426990509033,7.171362813096493e-05,1.494693924186663e-09,0.003343026,7.356519093979635e-14,B32,1,B32Neg
108,B32NeuBW.bmp,0.14917826652526855,0.8124735355377197,6.461956303382976e-08,4.024399302693382e-08,0.7056986689567566,0.000270614,1.2738675003731714e-08,0.19751019775867462,0.000472142,1.4963868011363957e-07,0.000199493,8.38754843357492e-09,B32,2,B32Neu
110,B33NeuBW.bmp,0.081341639,0.003802023,2.393517024756875e-05,1.637117748032324e-07,0.5680463314056396,0.002473048,0.00068283,0.001241633,3.179548366460949e-05,2.3358421685770736e-07,0.000693761,2.1018541182700468e-13,B33,2,B33Neu
111,B33PosBW.bmp,0.2735580801963806,0.01660529,0.000119653,0.050140426,0.9971174001693726,0.10441900789737701,0.9979130029678345,0.21650592982769012,1.3596408621197043e-07,6.19423234926586e-10,0.000375656,6.4417130483940266e-12,B33,3,B33Pos
143,G1Neu1BW.bmp,0.3563788831233978,0.999971867,1.0848431042376205e-09,1.339935362665301e-08,0.005684336,0.021048918,0.000222778,0.005931229,2.46211675403174e-05,2.0210770557138602e-11,3.7568380406582946e-08,2.8736050133393656e-14,,2,nan
145,G1Neu2BW.bmp,0.07327126,0.9634400606155396,0.000219568,2.9226973488963304e-13,0.054660093039274216,3.2432967600470874e-06,4.4284778510927936e-08,0.001700962,0.0649096,0.002535924,0.000191232,1.1498207984697584e-12,,2,nan
146,G1PosBW.bmp,0.002321544,0.000554928,0.076652527,0.9999997615814209,1,0.00111054,0.4827542006969452,0.9676399827003479,0.000374353,9.235286146935806e-12,5.378894911700627e-06,3.84856073875825e-13,G1,3,G1Pos
147,G2NegBw.bmp,0.041749381,0.38010281324386597,0.12600262463092804,0.2630264163017273,1,7.540928947946668e-08,0.19626092910766602,0.9908413887023926,2.7826305085909553e-05,6.398832192644477e-05,4.041141801280901e-05,3.93796540515412e-12,G2,1,G2Neg
